immature B cell:Blood	IGHM;MS4A1;PAX5;CD19
memory B cell:Blood	SELL;IGHG1;CD82;MS4A1;IGHA1;CD27;CD19
naive B cell:Blood	PAX5;CD40;MS4A1;FCER2;IGHM;CD19
transitional B cell:Blood	CD24;TCL1A;FCRLA;SOX4;IGLL5;BCL7A
dendritic cell type 1 (DC1):Blood	XCR1;CLEC9A;CADM1
dendritic cell type 2 (DC2):Blood	FCGR2B;HLA-DPB1;CD1C;CLEC10A;HLA-DQA2;FCER1A
dendritic cell type 3 (DC3):Blood	CD163;S100A9;CD1C;CLEC10A;S100A8;CD36;FCER1A
Plasmacytoid Dendritic Cell (pDC):Blood	SERPINF1;GZMB;JCHAIN
transitional Dendritic Cell (tDC):Blood	AXL;CD22;SIGLEC6
CD14 monocyte:Blood	VCAN;S100A9;CST3;S100A8;CD14;FCN
CD16 monocyte:Blood	MS4A7;CXCL16;LST1;IFITM3;HES4;FCGR3A
neutrophil:Blood	PGLYRP1;FCN1;ORM1;S100A12;ITGAM;MMP9
eosinophil:Blood	IL5RA;GATA2;CPA3;HPGDS;MS4A3;CLC;HDC
basophil:Blood	IL5RA;GATA2;CPA3;MS4A3;IL3RA;CLC;HDC
CD4 naïve:Blood	LTB;TRBC1;AQP3;IL7R;TRAC;CD3D;CD40LG;TRAT1
CD4 T cell memory:Blood	ANXA2;LGALS3;TNF;ODC1;MAL;PSAT1;NME1;PYCR1;IL2;SOCS1;WARS;TRAC;PDZD8;IFI6;CD3D;IL4R;CRIP1;STAT1
CD4 T cell effector memory CD45RA:Blood	TNF;ODC1;MAL;PSAT1;NME1;PYCR1;IL2;SOCS1;WARS;TRAC;CD3D;IL4R;STAT1
CD8 naïve:Blood	IL7R;TRAC;AQP3;CD3D
CD8 T cell memory:Blood	PRF1;PDZD8;CXCR6;GZMB;CRIP1;ITGA1
CD8 T cell effector memory:Blood	CCL3;CCL4;HOPX;TRAC;CD3D;GZMB
CD8 T cell effector memory CD45RA:Blood	KLRD1;IFIT3;HOPX;PRF1;CCL5;NKG7;TRAC;CD3D;GNLY
mature CD8 T cell:Blood	CD8A;IL32;TRGC2;DUSP2;GZMH;CCL5;KLRG1;GZMK
CD56 bright Natural killer:Blood	XCL1;KLRB1;TRDC;CLIC3;GZMK;CST7
mature Natural killer:Blood	PRF1;GZMA;KLRB1;FCGR3A;GZMB;TRDC;CLIC3;CST7
T regulatory:Blood	LTB;TNFRSF25;FOXP3;TRBC1;AQP3;TIGIT;IL7R;TRAC;TNFRSF4;TRAT1;CCR6
